West Side Story,www.youtube.com/watch?v=yA_aFprGzyc,FALSE,"Jerome Robbins, Robert Wise",1961
Taxi Driver,www.youtube.com/watch?v=bqLyTdcMLhc,TRUE,Martin Scorsese,1976
The Deer Hunter,www.youtube.com/watch?v=vw-Tyr6Rb6I,FALSE,Michael Cimino,1978
MASH,ww.youtube.com/watch?v=1gNvuJ7IbTw,FALSE,Robert Altman,1970
North by Northwest,www.youtube.com/watch?v=qk0GbTMMbP0,FALSE,Alfred Hitchcock,1959
Jaws,www.youtube.com/watch?v=U1fu_sA7XhE,TRUE,Steven Spielberg,1975
Rocky,www.youtube.com/watch?v=3VUblDwa648,FALSE,John G. Avildsen,1976
The Gold Rush,www.youtube.com/watch?v=kDlEvaKBkhU,FALSE,Charlie Chaplin,1925
Nashville,"www.youtube.com/watch?v=QZGpaVZdGlo
",FALSE,Robert Altman,1975
Duck Soup,www.youtube.com/watch?v=bonpelSt2ME,FALSE,Leo McCarey,1933
Sullivan's Travels,www.youtube.com/watch?v=HUNHxGDLfIE,FALSE,Preston Sturges,1941
American Graffiti,www.youtube.com/watch?v=HBI0p5OGlDw,FALSE,George Lucas,1973
Cabaret,www.youtube.com/watch?v=hYZ8cqMLuQg,FALSE,Bob Fosse,1972
Network,www.youtube.com/watch?v=gQUBbpvXk2A,FALSE,Sidney Lumet,1976
The African Queen,ww.youtube.com/watch?v=88jytHOsDos,FALSE,John Huston,1951
Raiders of the Lost Ark,www.youtube.com/watch?v=0ZOcoxjeUYo,FALSE,Steven Spielberg,1981
Who's Afraid of Virginia Woolf?,www.youtube.com/watch?v=hZEKQnMCze8,FALSE,Mike Nichols,1966
Unforgiven,www.youtube.com/watch?v=XDAXGILEdro,FALSE,Clint Eastwood,1992
Tootsie,www.youtube.com/watch?v=FlXE1Yq0AnQ,FALSE,Sydney Pollack,1982
A Clockwork Orange,www.youtube.com/watch?v=G7fO3bzPeBQ,FALSE,Stanley Kubrick,1971
Saving Private Ryan,www.youtube.com/watch?v=zwhP5b4tD6g,FALSE,Steven Spielberg,1998
The Shawshank Redemption,www.youtube.com/watch?v=6hB3S9bIaco,FALSE,Frank Darabont,1994
Butch Cassidy and the Sundance Kid,www.youtube.com/watch?v=X41Ylp02NRs,FALSE,George Roy Hill,1969
The Silence of the Lambs,www.youtube.com/watch?v=lQKs169Sl0I,TRUE,Jonathan Demme,1991
In the Heat of the Night,www.youtube.com/watch?v=mQTvwkmwseU,FALSE,Norman Jewison,1967
Forrest Gump,www.youtube.com/watch?v=uPIEn0M8su0,TRUE,Robert Zemeckis,1994
All the President's Men,https://www.youtube.com/watch?v=vLt6djxhNe8,FALSE,Alan J. Pakula,1976
Modern Times,www.youtube.com/watch?v=2B3HGY_zLKk,FALSE,Charlie Chaplin,1936
The Wild Bunch,www.youtube.com/watch?v=aIwH96iZI7E,FALSE,Sam Peckinpah,1969
The Apartment,www.youtube.com/watch?v=cRta_ko0XGU,FALSE,Billy Wilder,1960
Spartacus,www.youtube.com/watch?v=u_C21N1UabM,FALSE,Stanley Kubrick,1960
Sunrise: A Song of Two Humans,www.youtube.com/watch?v=zvbGF0NcD_4,FALSE,F. W. Murnau,1927
Titanic,www.youtube.com/watch?v=zCy5WQ9S4c0,FALSE,James Cameron,1997
Easy Rider,www.youtube.com/watch?v=UjlxqANj68U,FALSE,Dennis Hopper,1969
A Night at the Opera,www.youtube.com/watch?v=CUS-FnxUJb8,FALSE,Sam Wood,1935
Platoon,www.youtube.com/watch?v=AykiF9YYF2U,FALSE,Oliver Stone,1986
12 Angry Men,www.youtube.com/watch?v=A7CBKT0PWFA,TRUE,Sidney Lumet,1957
