Parks and Recreation | Talks at Google,https://www.youtube.com/watch?v=BIJBYU3LKJQ&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Comedians
"Artists at Google: Andrew Stanton, ""John Carter""",https://www.youtube.com/watch?v=AtP33OuPzgc&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Artists
Google+ Presents Dane Cook: In Conversation,https://www.youtube.com/watch?v=HtjDHEtTBFU&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Comedians
Hillary Clinton Talks with Google CEO Eric Schmidt,https://www.youtube.com/watch?v=cwYKIsJwi2c&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Candidates
Leading@google: Tony Schwartz,https://www.youtube.com/watch?v=tke6X2eME3c&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Leading
Authors@Google: Anthony Bourdain,https://www.youtube.com/watch?v=WfyxJifcAX8&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
Authors@Google: Paul Krugman,https://www.youtube.com/watch?v=4XhvG_fD0HA&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
"Kelly McGonigal, ""The Willpower Instinct"" | Talks at Google",https://www.youtube.com/watch?v=V5BXuZL1HAg&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Inspirational
Musicians@Google: José González Live,https://www.youtube.com/watch?v=CL-t7f_n9dY&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Musicians
Authors@Google: Michael Pollan,https://www.youtube.com/watch?v=I-t-7lTw6mA&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
@Google in Conversation with Stephen Merchant,https://www.youtube.com/watch?v=Qt3XkJsQR-g&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Comedians
Authors@Google: Slavoj Žižek,https://www.youtube.com/watch?v=_x0eyNkNpL0&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
Authors@Google: Marco Pierre White,https://www.youtube.com/watch?v=7bjQy0S6Un4&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
"Chade-Meng Tan: ""Search Inside Yourself"", Authors at Google",https://www.youtube.com/watch?v=r8fcqrNO7so&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Inspirational
"Authors@Google: Eric Ries ""The Lean Startup""",https://www.youtube.com/watch?v=fEvKo90qBns&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
Authors@Google: Masaharu Morimoto,https://www.youtube.com/watch?v=SNyRCHMIWDw&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
Authors@Google: Salman Rushdie,https://www.youtube.com/watch?v=Ah9PyZNb4F8&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
Authors@Google: George Soros,https://www.youtube.com/watch?v=0zzQk8IwSJE&list=UUbmNph6atAoGfqLoCL_duAg,FALSE,Authors
